connection_type_ref,connection_type_ref_key,db_key,enabled,force_nat_t,ike_phase1_id_autogenerated,ike_phase1_id_type,ipsec_vpn,nat_t,ssl_vpn_portal,ssl_vpn_tunnel,tcp_tunneling,mvia_address.address,name
Active,1,99,true,false,true,IP Address,true,true,true,true,false,10.53.30.1,
Active,1,167,false,false,true,IP Address,true,true,true,true,false,10.53.41.1,
Active,1,81,false,false,true,IP Address,true,true,true,true,false,10.53.74.1,
Active,1,82,false,false,true,IP Address,true,true,true,true,false,10.53.101.1,
Active,1,83,false,false,true,IP Address,true,true,true,true,false,10.53.102.1,
Active,1,84,false,false,true,IP Address,true,true,true,true,false,10.53.103.1,
Active,1,85,false,false,true,IP Address,true,true,true,true,false,10.53.104.1,
Active,1,86,false,false,true,IP Address,true,true,true,true,false,10.53.105.1,
Active,1,87,false,false,true,IP Address,true,true,true,true,false,10.53.106.1,
Active,1,88,false,false,true,IP Address,true,true,true,true,false,10.53.107.1,
Active,1,160,false,false,true,IP Address,true,true,true,true,false,10.53.108.1,
Active,1,161,false,false,true,IP Address,true,true,true,true,false,10.53.109.1,
Active,1,101,false,false,true,IP Address,true,true,true,true,false,10.53.110.1,
Active,1,162,false,false,true,IP Address,true,true,true,true,false,10.53.111.1,
Active,1,163,false,false,true,IP Address,true,true,true,true,false,10.53.112.1,
Active,1,89,false,false,true,IP Address,true,true,true,true,false,10.53.115.1,
Active,1,165,false,false,true,IP Address,true,true,true,true,false,10.53.116.1,
Active,1,166,false,false,true,IP Address,true,true,true,true,false,10.53.117.1,
Active,1,164,false,false,true,IP Address,true,true,true,true,false,10.53.118.1,
Active,1,91,false,false,true,IP Address,true,true,true,true,false,10.53.123.1,
Active,1,94,false,false,true,IP Address,true,true,true,true,false,10.53.135.1,
Active,1,95,false,false,true,IP Address,true,true,true,true,false,10.53.140.1,
Active,1,96,false,false,true,IP Address,true,true,true,true,false,10.53.145.1,
Active,1,157,false,false,true,IP Address,true,true,true,true,false,10.53.150.1,
Active,1,104,false,false,true,IP Address,true,true,true,true,false,10.53.180.1,
Active,1,105,false,false,true,IP Address,true,true,true,true,false,10.53.202.1,
Active,1,97,false,false,true,IP Address,true,true,true,true,false,10.53.222.1,
Active,1,98,false,false,true,IP Address,true,true,true,true,false,10.53.223.1,
Active,1,1,true,false,true,Distinguished Name,true,false,false,true,false,First DHCP Interface ip,VPN Client IPv4
Active,1,2,true,false,true,Distinguished Name,true,false,false,false,false,Second DHCP Interface slaac ip,VPN Client IPv6
