db_key,name,mvia_address.address,third_party_monitoring.netflow,third_party_monitoring.snmp_trap,comment,secondary.value,category_ref.ref
74097, Internal Reverse Proxy(Engine x),10.53.80.0,false,false,,,
72284,10.100.112.10,10.100.112.10,false,false,Imported Hosts for Itida VDOM,,
72287,10.100.112.5,10.100.112.5,false,false,importedhostsITI,,
73867,10.100.232.235,10.100.232.235,false,false,,,
72340,10.111.100.40,10.111.100.40,false,false,,,
72341,10.111.100.55,10.111.100.55,false,false,,,
72342,10.111.100.60,10.111.100.60,false,false,,,
72459,10.151.100.40,10.151.100.40,false,false,,,
72460,10.151.100.55  ,10.151.100.55,false,false,,,
74316,10.210.170.192,10.210.170.192,false,false,,,
72467,10.210.18.139,10.210.18.139,false,false,,,
72469,10.210.200.17,10.210.200.17,false,false,,,
72472,10.210.250.31,10.210.250.31,false,false,,,
72473,10.210.250.32,10.210.250.32,false,false,,,
72474,10.210.250.36,10.210.250.36,false,false,,,
72475,10.210.250.37,10.210.250.37,false,false,,,
74076,10.53.101.247,10.53.101.247,false,false,,,
73982,10.53.101.249,10.53.101.249,false,false,,,
73984,10.53.101.250,10.53.101.250,false,false,,,
73868,10.53.101.251,10.53.101.251,false,false,,,
73869,10.53.101.252,10.53.101.252,false,false,,,
74054,10.53.101.253,10.53.101.253,false,false,,,
74276,10.53.101.60,10.53.101.60,false,false,,,
72510,10.53.102.21,10.53.102.21,false,false,,,
74305,10.53.102.38,10.53.102.38,false,false,,,
74304,10.53.102.39,10.53.102.39,false,false,,,
74306,10.53.102.40,10.53.102.40,false,false,,,
74308,10.53.102.51,10.53.102.51,false,false,,,
74307,10.53.104.251,10.53.104.251,false,false,,,
73871,10.53.105.21,10.53.105.21,false,false,,,
73914,10.53.105.22,10.53.105.22,false,false,,,
73915,10.53.105.23,10.53.105.23,false,false,,,
74031,10.53.105.252,10.53.105.252,false,false,,,
74098,10.53.106.100,10.53.106.100,false,false,,,
73996,10.53.106.124,10.53.106.124,false,false,,,
74134,10.53.106.219,10.53.106.219,false,false,,,
74135,10.53.106.220,10.53.106.220,false,false,,,
74078,10.53.106.222,10.53.106.222,false,false,,,
74052,10.53.106.227,10.53.106.227,false,false,,,
74047,10.53.106.229,10.53.106.229,false,false,,,
74048,10.53.106.230,10.53.106.230,false,false,,,
74049,10.53.106.231,10.53.106.231,false,false,,,
73997,10.53.106.236,10.53.106.236,false,false,,,
74027,10.53.106.238,10.53.106.238,false,false,,,
74055,10.53.106.239,10.53.106.239,false,false,,,
73983,10.53.106.240,10.53.106.240,false,false,,,
73872,10.53.106.241,10.53.106.241,false,false,,,
73873,10.53.106.242,10.53.106.242,false,false,,,
72513,10.53.106.244,10.53.106.244,false,false,,,
72514,10.53.106.245,10.53.106.245,false,false,,,
72516,10.53.106.247,10.53.106.247,false,false,,,
72517,10.53.106.248,10.53.106.248,false,false,,,
72518,10.53.106.250,10.53.106.250,false,false,,,
74145,10.53.107.100,10.53.107.100,false,false,,,
73874,10.53.107.243,10.53.107.243,false,false,,,
72520,10.53.107.244,10.53.107.244,false,false,,,
72521,10.53.107.247,10.53.107.247,false,false,,,
72522,10.53.107.248,10.53.107.248,false,false,,,
72523,10.53.107.249,10.53.107.249,false,false,,,
74007,10.53.107.250,10.53.107.250,false,false,,,
74008,10.53.107.251,10.53.107.251,false,false,,,
74009,10.53.107.252,10.53.107.252,false,false,,,
73875,10.53.107.253,10.53.107.253,false,false,,,
74121,10.53.107.34,10.53.107.34,false,false,,,
74105,10.53.107.70,10.53.107.70,false,false,,0.0.0.0,
74296,10.53.116.248,10.53.116.248,false,false,,,
74297,10.53.116.249,10.53.116.249,false,false,,,
73876,10.53.120.3,10.53.120.3,false,false,,,
72526,10.53.121.251,10.53.121.251,false,false,,,
72527,10.53.121.252,10.53.121.252,false,false,,,
72528,10.53.121.253,10.53.121.253,false,false,,,
72531,10.53.123.250,10.53.123.250,false,false,,,
74084,10.53.125.0/24,10.53.125.0,false,false,,,
74309,10.53.125.1,10.53.125.1,false,false,,,
72533,10.53.126.124,10.53.126.124,false,false,,,
72534,10.53.126.125,10.53.126.125,false,false,,,
72535,10.53.126.126,10.53.126.126,false,false,,,
72536,10.53.126.127,10.53.126.127,false,false,,,
74153,10.53.126.146,10.53.126.146,false,false,,,
72538,10.53.126.172,10.53.126.172,false,false,,,
72539,10.53.126.69,10.53.126.69,false,false,,,
74205,10.53.126.91,10.53.126.91,false,false,,,
72540,10.53.130.10,10.53.130.10,false,false,,,Elements created by Migration Tool
74275,10.53.135.243,10.53.135.243,false,false,,,
74277,10.53.135.244,10.53.135.244,false,false,,,
74110,10.53.150.245,10.53.150.245,false,false,,,
74051,10.53.150.248,10.53.150.248,false,false,,,
72543,10.53.200.167,10.53.200.167,false,false,,,
72545,10.53.200.22,10.53.200.22,false,false,,,Elements created by Migration Tool
72546,10.53.200.24,10.53.200.24,false,false,,,
72547,10.53.222.2,10.53.222.2,false,false,,,Elements created by Migration Tool
74128,10.53.222.22,10.53.222.22,false,false,,,
73993,10.53.222.3,10.53.222.3,false,false,,,
74303,10.53.41.1,10.53.41.1,false,false,,,
73877,10.53.74.1,10.53.74.1,false,false,,,
72551,10.54.10.10,10.54.10.10,false,false,,,
72552,10.54.100.1,10.54.100.1,false,false,,,
74013,10.54.101.252,10.54.101.252,false,false,,,
74014,10.54.101.253,10.54.101.253,false,false,,,
74087,10.54.125.0/24,10.54.125.0,false,false,,,
72553,10.54.126.20,10.54.126.20,false,false,,,
72554,10.54.126.24,10.54.126.24,false,false,,,
72555,10.54.126.30,10.54.126.30,false,false,,,
73878,10.54.126.40,10.54.126.40,false,false,,,
73879,10.54.126.47,10.54.126.47,false,false,,,
74085,10.54.135.239,10.54.135.239,false,false,,,
74038,10.54.135.246,10.54.135.246,false,false,,,
74039,10.54.135.247,10.54.135.247,false,false,,,
74040,10.54.135.248,10.54.135.248,false,false,,,
72557,10.54.135.40,10.54.135.40,false,false,,,
72558,10.54.200.21,10.54.200.21,false,false,,,
72559,10.54.200.24,10.54.200.24,false,false,,,
72560,10.54.200.30,10.54.200.30,false,false,,,
74122,10.54.230.10,10.54.230.10,false,false,,,
74136,10.54.230.30,10.54.230.30,false,false,,,
74137,10.54.230.31,10.54.230.31,false,false,,,
73988,10.54.230.5,10.54.230.5,false,false,,,
73978,10.70.131.151,10.70.131.151,false,false,,,
73979,10.70.131.46,10.70.131.46,false,false,,,
74028,102.128.176.211,102.128.176.211,false,false,,,
74069,102.217.68.120,102.217.68.120,false,false,,,
72587,13.95.90.49,13.95.90.49,false,false,,,Elements created by Migration Tool
72595,168.63.15.84,168.63.15.84,false,false,,,Elements created by Migration Tool
