db_key,name,category_ref.ref
73888,100 M-Link,
71381,ADconnect,
73889,EDR-POC,
74160,EPM_PRD_DB,
74162,EPM_PRD_WEB,
74156,EPM_STG_DB,
74158,EPM_STG_WEB,
71390,HPC Cluster 4 nodes,
71391,HW MGMT network,
74299,JumpServer,
71394,MGMT network,
71395,Network Storage (NFS),
71396,New-smc-mangment,
71397,New_Server_Data,Elements created by Migration Tool
71398,New_Server_MGM,Elements created by Migration Tool
71399,Outside,Elements created by Migration Tool
74229,Thebes DevOps,
74228,Thebes Reverse Proxy,
74220,Thebes_Kubernetes,
71402,VM migration Network,
71403,VM network 2(NAT),
71404,VM network 3(internal 1),
71405,VM network 4(internal 2 ),
73890,VPN-DHCP,
71406,Vm network 1(infrastructure),
74032,Web Zone,
74024,new_link,
71413,port10,Elements created by Migration Tool
73892,security building,
73893,ssl-VPN,
71422,video conferenc,Elements created by Migration Tool
