type,value
network_element,10.53.222.2
network_element,8.8.8.8
network_element,AIC-AlexVPN
network_element,AIC_Subnet
network_element,Not Internal
network_element,10.53.105.252
network_element,10.53.107.34
network_element,10.53.107.70
network_element,host-10.53.150.249
network_element,NGINX-Reverse-Proxy-VM 1
network_element,Not Internal
network_element,10.53.106.100
network_element,10.53.106.247
network_element,Cairo_EPM_Prd_Web_Server
network_element,Docker Registry Server
network_element,Internal WordPress
network_element,10.53.106.241
network_element,10.53.106.241
network_element,Git_Server
network_element,10.53.120.0/24
network_element,network-10.53.127.0/24
network_element,dns1
network_element,dns2
network_element,Windows Update Server
network_element,AD1
network_element,AD2
network_element,NLP Annotation Server
network_element,10.53.222.0/24
network_element,NEW_SERVER_MGMT
network_element,network-10.53.230.0/24
network_element,102.217.68.120
network_element,host-10.54.135.249
network_element,10.53.101.60
network_element,10.53.102.60-69 
network_element,10.53.135.243
network_element,10.53.135.244
network_element,10.53.101.60
network_element,network-10.53.107.0/24
network_element,host-10.53.101.248
network_element,network-10.53.107.0/24
network_element,host-10.54.135.249
network_element,10.53.107.253
network_element,10.53.107.253
network_element,10.53.107.100
network_element,network-10.53.107.0/24
network_element,Active Connect Client
network_element,Proxy Agent 1
network_element,Proxy Agent 2
network_element,AIC_Cluster1_server
network_element,host-10.53.127.11
network_element,network-10.53.140.0/24
network_element,host-10.53.150.249
network_element,10.53.222.0/24
network_element,10.53.222.2
network_element,host-10.53.101.248
network_element,10.53.101.252
network_element,10.53.106.241
network_element,10.53.106.241
network_element,ISE_mcit4
network_element,Active Connect Client
network_element,Proxy Agent 1
network_element,Proxy Agent 2
network_element,AIC_Cluster1_server
network_element,host-10.53.127.11
network_element,network-10.53.140.0/24
network_element,host-10.53.150.249
network_element,10.53.222.2
network_element,hpc cluster 2 login node
network_element,AIC_Cluster1_server
network_element,host-10.53.127.11
network_element,196.219.237.216
network_element,network-10.53.106.0/24
network_element,106_Deny_ip
network_element,host-10.53.101.248
network_element,host-10.53.120.88
network_element,hpc cluster 4 login node
network_element,10.53.123.250
network_element,network-10.53.127.0/24
network_element,network-10.53.128.0/24
network_element,network-10.53.140.0/24
network_element,AIC_Cluster1_server
network_element,host-10.53.127.11
network_element,AIC_Cluster1_server
network_element,host-10.53.127.11
network_element,hpc cluster 2 login node
network_element,dns1
network_element,dns2
network_element,network-10.53.127.0/24
network_element,AIC_Cluster1_server
network_element,host-10.53.127.11
network_element,host-10.53.128.20
network_element,hpc cluster 2 login node
network_element,AIC_Cluster1_server
network_element,host-10.53.127.11
network_element,ANY
network_element,ANY
network_element,10.53.106.245
network_element,10.53.106.239
network_element,10.53.106.244
network_element,10.53.106.248
network_element,host-10.53.106.228
network_element,IT Assets Inventory
network_element,10.53.106.239
network_element,10.53.106.244
network_element,10.53.106.248
network_element,host-10.53.106.228
network_element,IT Assets Inventory
network_element,smtp.office365.com
network_element,Root WAF Network
network_element,AIC RProxy Network
network_element,host-10.53.116.80
network_element,host-10.53.118.60
network_element,10.53.222.2
network_element,10.53.222.22
network_element,network-10.53.118.0/24
network_element,Thebes_K8s_Ingress
network_element,Docker Registry Server
network_element,Git_Server
network_element,10.53.222.2
network_element,10.53.222.22
network_element,10.54.125.0
network_element,10.54.135.0/24
network_element,10.54.200.0/24
network_element,AIC Operations
network_element,AIC SWD
network_element,AIC-CAI-IT
network_element,Alexandria_R&D_Team_126   
network_element,Alexandria_Software_129
network_element,Cairo_EPM_Prd_DB
network_element,Cairo_EPM_Stg_Web
network_element,Cairo_HPC_Team_130
network_element,Cairo_Office365_VM_123
network_element,Cairo_R&D_Team_126
network_element,network-10.53.106.0/24
network_element,network-10.53.112.0/24
network_element,network-10.53.135.0/24
network_element,network-10.53.41.0/24
network_element,10.53.101.60
network_element,host-10.53.102.60
network_element,10.53.102.60-69 
network_element,host-10.53.102.60
network_element,host-10.53.102.69
network_element,SCCM Server
network_element,10.53.101.60-79
network_element,10.53.106.100
network_element,10.53.106.219
network_element,10.53.106.220
network_element,Not Internal
network_element,ISE_mcit2
network_element,ISE_mcit4
network_element,host-10.53.116.250
network_element,host-10.53.116.253
network_element,network-10.53.118.0/24
network_element,network-10.53.101.0/24
network_element,10.53.101.252
network_element,IT Assets Inventory
network_element,10.53.105.252
network_element,Not Internal
network_element,Not Internal
network_element,imap.gmail.com
network_element,smtp.gmail.com
network_element,imap.gmail.com
network_element,smtp.gmail.com
network_element,network-10.53.107.0/24
network_element,network-10.53.123.0/24
network_element,10.53.123.250
network_element,network-10.53.107.0/24
network_element,Cairo_R&D_Team_126
network_element,network-10.53.125.0/24
network_element,10.53.101.247
network_element,10.53.150.245
network_element,10.53.150.245
network_element,10.53.150.245
network_element,AD1
network_element,AD2
network_element,dns1
network_element,dns2
network_element,AD1
network_element,AD2
network_element,ssh.axisapps.io
network_element,Not Internal
network_element,host-10.53.106.218
network_element,10.53.107.100
network_element,10.53.106.240
network_element,Git_Server
network_element,Git_Server
network_element,10.53.106.250
network_element,10.54.125.0
network_element,network-10.53.125.0/24
network_element,AIC-AlexVPN
network_element,AIC_Subnet
network_element,AIC-AlexVPN
network_element,AIC_Subnet
network_element,AIC-AlexVPN
network_element,AIC_Subnet
network_element,dns2
network_element,ANY
network_element,outlook.office365.com
network_element,smtp.office365.com
network_element,network-10.53.107.0/24
network_element,10.53.102.21
network_element,10.53.106.227
network_element,10.53.106.241
network_element,10.53.106.250
network_element,10.53.222.2
network_element,10.54.101.252
network_element,10.54.101.253
network_element,10.54.135.0/24
network_element,10.54.200.0/24
network_element,10.54.230.0
network_element,Active Connect Client
network_element,AD1
network_element,AD2
network_element,AIC_Cluster1_server
network_element,Alexandria_R&D_Team_126   
network_element,Cairo_R&D_Team_126-
network_element,dns1
network_element,dns2
network_element,host-10.53.127.11
network_element,ISE_mcit4
network_element,Lab2
network_element,network-10.53.101.0/24
network_element,network-10.53.102.0/24
network_element,network-10.53.104.0/24
network_element,network-10.53.105.0/24
network_element,network-10.53.106.0/24
network_element,network-10.53.107.0/24
network_element,network-10.53.123.0/24
network_element,network-10.53.145.0/24
network_element,network-10.53.150.0/24
network_element,Printer_Vlan
network_element,Proxy Agent 1
network_element,Proxy Agent 2
network_element,users
network_element,Windows Update Server
network_element,10.53.126.91
network_element,host-10.53.126.90
network_element,10.53.106.222
network_element,10.53.106.240
network_element,10.53.106.242
network_element,10.54.135.239
network_element,AD1
network_element,AD2
network_element,host-10.53.106.228
network_element,host-10.53.150.249
network_element,host-10.54.135.249
network_element,NLP Annotation Server
network_element,ANY
network_element,dns1
network_element,dns2
network_element,62.189.71.21
network_element,102.217.68.120
network_element,ANY
network_element,host-10.53.123.250
network_element,AD1
network_element,AD2
network_element,AIC.GOV.EG
network_element,SMA1-LR
network_element,firemon
network_element,host-10.53.101.248
network_element,host-10.53.106.210
network_element,network-10.53.107.0/24
network_element,10.53.222.2
network_element,10.53.222.22
network_element,10.53.135.252-10.53.135.253
network_element,AD1
network_element,AD2
network_element,cairo-NAS-Server
network_element,host-10.53.101.246
network_element,cairo-NAS-Server
network_element,SIEM_Collector02
network_element,SMA1-LR
network_element,dns1
network_element,dns2
network_element,Not Internal
network_element,10.53.101.252
network_element,host-10.53.101.248
network_element,AIC-GPU
network_element,ANY
network_element,ANY
network_element,ANY
network_element,10.100.232.235
network_element,NVR_B51
network_element,AIC.GOV.EG
network_element,AIC.GOV.EG
network_element,41.33.212.179
network_element,10.53.106.244
network_element,ddn console
network_element,10.53.123.250
network_element,NEW_SERVER_MGMT
network_element,HPC OME
network_element,NEW_SERVER_MGMT
network_element,HPC OME
network_element,ANY
network_element,ANY
network_element,10.53.107.70
network_element,Cairo_Printer_230
network_element,Cairo_Printer_230
network_element,AIC KC Printer
network_element,Windows Update Server
network_element,AD1
network_element,AD2
network_element,ANY
network_element,network-10.56.0.0/16
network_element,network-10.56.0.0/16
network_element,MCIT PhoneVLAN
network_element,network-10.56.0.0/16
network_element,VGW
network_element,network-10.56.0.0/16
network_element,network-10.56.0.0/16
network_element,jabber-client
network_element,network-10.56.0.0/16
network_element,CUCM
network_element,10.111.100.55
network_element,10.151.100.55  
network_element,MNOT
network_element,CUC
network_element,network-10.56.0.0/16
network_element,10.111.100.60
network_element,network-10.56.0.0/16
network_element,network-10.56.0.0/16
network_element,xml-server
network_element,network-10.56.0.0/16
network_element,ISE_mcit4
network_element,AD1
network_element,AD2
network_element,AD1
network_element,AD2
network_element,BCAAA-AIC-170
network_element,BCAAAA-AIC
network_element,AD1
network_element,AD2
network_element,dns1
network_element,dns2
network_element,dns1
network_element,dns2
network_element,Outside
network_element,10.53.41.1
network_element,172.26.12.163
network_element,172.26.12.164
network_element,PRA IN 1 
network_element,AD1
network_element,AD2
network_element,AD1
network_element,AD2
network_element,AD1
network_element,AD2
network_element,AD1
network_element,AD2
network_element,10.53.41.1
network_element,AIC JUMP POINT 
network_element,10.53.41.1
network_element,172.26.12.163
network_element,172.26.12.164
network_element,PRA IN 1 
network_element,10.210.170.192
network_element,10.53.102.38
network_element,10.53.102.39
network_element,10.53.102.40
network_element,10.53.102.51
network_element,10.53.104.251
network_element,10.53.105.252
network_element,10.53.106.219
network_element,10.53.106.220
network_element,10.53.106.236
network_element,10.53.106.238
network_element,10.53.123.250
network_element,10.53.125.1
network_element,10.53.41.1
network_element,10.54.135.239
network_element,Active Connect Client
network_element,AD1
network_element,AD2
network_element,Cairo_EPM_Prd_DB_Server
network_element,Cairo_EPM_Prd_Web_Server
network_element,dns1
network_element,dns2
network_element,emsin.mcit.gov.eg
network_element,Git_Server
network_element,host-10.53.102.31
network_element,host-10.53.102.32
network_element,host-10.53.102.53
network_element,host-10.53.116.252
network_element,host-10.53.116.253
network_element,host-10.53.117.253
network_element,host-10.53.117.254
network_element,NGINX-Reverse-Proxy-VM 1
network_element,Proxy Agent 1
network_element,Proxy Agent 2
network_element,vCenter Virtualization Manager
network_element,VMware Hypervisor 1
network_element,VMware Hypervisor 2
network_element,VMware Hypervisor 3
network_element,VMware Hypervisor 4
network_element,Windows Update Server
network_element,dns1
network_element,dns2
network_element,10.53.106.241
network_element,AD1
network_element,AD2
network_element,hpc cluster 2 login node
network_element,Alex-Kubernetes
network_element,MCIT-DC1
network_element,MCIT-DC2
network_element,AD2
network_element,DNSServer
network_element,ANY
network_element,dns1
network_element,dns2
network_element,Alexandria_K8s_Metallb
network_element,Alexandria_K8s_Metallb
network_element,AD1
network_element,AD2
network_element,dns1
network_element,dns2
network_element,time.google.com
network_element,time1.google.com
network_element,time2.google.com
network_element,time3.google.com
network_element,time4.google.com
network_element,dns1
network_element,dns2
network_element,AD1
network_element,AD2
network_element,AD1
network_element,AD2
network_element,AD1
network_element,AD2
network_element,AD1
network_element,AD2
network_element,DNSGoogle2
network_element,DNSServer
network_element,dns1
network_element,dns2
network_element,dns1
network_element,dns2
network_element,dns1
network_element,dns2
network_element,Cairo_Printer_230
network_element,AD1
network_element,AD2
network_element,R&D Machine
network_element,AD1
network_element,AD2
network_element,AD1
network_element,AD2
network_element,vCenter Virtualization Manager
network_element,vCenter Virtualization Manager
network_element,Dell Storage management
network_element,AD1
network_element,AD2
network_element,AD1
network_element,AD2
network_element,HPC Isilon Management  
network_element,HPC Imhotep Manegement Node
network_element,AD1
network_element,AD2
network_element,10.210.225.0/255.255.255.0
network_element,10.210.227.0/255.255.255.0
network_element,Kaspersky-server
network_element,AIC-CAI-IT
network_element,Cairo_EPM_Prd_DB
network_element,Cairo_EPM_Prd_Web
network_element,Cairo_EPM_Stg_DB
network_element,Cairo_EPM_Stg_Web
network_element,network-10.53.123.0/24
network_element,network-10.53.135.0/24
network_element,Kaspersky-server
network_element,AI-lab
network_element,Cairo_R&D_Team_126-
network_element,users
network_element,wireless_subnet
network_element,dns1
network_element,dns2
network_element,AIC Internal WAF 
network_element,LogRhythm_DP
network_element,Cairo_EPM_Prd_DB
network_element,Cairo_EPM_Prd_Web
network_element,Cairo_EPM_Stg_DB
network_element,Cairo_EPM_Stg_Web
network_element,Cairo_Office365_VM_123
network_element,network-10.53.105.0/24
network_element,network-10.53.106.0/24
network_element,network-10.53.135.0/24
network_element,network-10.53.150.0/24
network_element,LogRhythm_Dashboard
network_element,AD1
network_element,AD2
network_element,10.53.150.245
network_element,Cairo_R&D_Team_126
network_element,network-10.53.105.0/24
network_element,NLP System of Estimating Alimony
network_element,10.53.126.91
network_element,host-10.53.117.254
network_element,host-10.53.126.90
network_element,host-10.53.117.254
network_element,network-10.53.118.0/24
network_element,host-10.53.116.250
network_element,host-10.53.116.251
network_element,host-10.53.116.252
network_element,host-10.53.116.253
network_element,host-10.53.117.253
network_element,network-10.53.128.0/24
network_element,Hypervisors_102
network_element,Alex_VM_Internal
network_element,Alex-BMC
network_element,Cairo_EPM_Prd_Web_Server
network_element,10.54.130.0
network_element,10.53.222.2
network_element,10.53.222.22
network_element,10.53.222.0/24
network_element,10.53.106.100
network_element,AIC Internal WAF 
network_element,host-10.53.106.225
network_element,network-10.53.102.0/24
network_element,10.53.106.241
network_element,10.53.106.247
network_element,Git_Server
network_element,10.53.106.247
network_element,Git_Server
network_element,host-10.53.106.208
network_element,host-10.53.106.208
network_element,10.53.106.247
network_element,10.53.222.2
network_element,10.53.222.22
network_element,10.53.150.245
network_element,10.53.150.245
network_element,network-10.53.127.0/24
network_element,10.53.120.0/24
network_element,network-10.53.128.0/24
network_element,dns1
network_element,dns2
network_element,10.53.106.227
network_element,10.54.125.0
network_element,10.54.135.0/24
network_element,10.54.135.0/24
network_element,10.54.135.0/24
network_element,10.53.107.100
network_element,10.54.135.248
network_element,host-10.54.135.249
network_element,10.53.107.100
network_element,10.54.135.248
network_element,host-10.54.135.249
network_element,Kubernetes_Master 1  
network_element,Kubernetes_Master 2
network_element,Kubernetes_Master 3
network_element,10.53.107.70
network_element,network-10.53.102.0/24
network_element,network-10.53.106.0/24
network_element,network-10.53.106.0/24
network_element,10.53.106.248
network_element,LXC Management Node
network_element,10.53.125.0/24
network_element,Cairo_R&D_Team_126-
network_element,network-10.53.105.0/24
network_element,10.54.135.0/24
network_element,network-10.53.107.0/24
network_element,10.53.126.146
network_element,Cairo_R&D_Team_126
network_element,10.53.106.242
network_element,10.54.200.0/24
network_element,10.53.222.2
network_element,10.53.222.22
network_element,10.53.106.124
network_element,10.53.222.2
network_element,10.53.120.3
network_element,10.53.120.0/24
network_element,host-10.53.120.88
network_element,network-10.53.106.0/24
network_element,10.53.107.243
network_element,10.53.107.250
network_element,10.53.107.251
network_element,10.53.107.252
network_element,host-10.53.107.253
network_element,10.53.106.241
network_element,10.53.106.241
network_element,10.53.106.244
network_element,10.53.107.70
network_element,AI-lab
network_element,ai_server
network_element,Server-Mgmt-B2
network_element,host-10.53.120.88
network_element,AIC_Cluster1_server
network_element,hpc cluster 4 login node
network_element,10.53.222.0/24
network_element,NEW_SERVER_MGMT
network_element,Docker Registry Server
network_element,10.53.106.242
network_element,10.53.106.244
network_element,network-10.53.102.0/24
network_element,10.53.106.236
network_element,network-10.53.107.0/24
network_element,AD1
network_element,AD2
network_element,10.53.106.236
network_element,ANY
network_element,10.53.222.2
network_element,10.53.222.22
network_element,network-10.53.140.0/24
network_element,41.33.212.178
network_element,10.53.107.243
network_element,10.53.107.250
network_element,10.53.107.251
network_element,10.53.107.252
network_element,10.53.107.253
network_element,10.54.135.0/24
network_element,10.53.106.242
network_element,Git_Server
network_element,10.54.135.0/24
network_element,network-10.53.107.0/24
network_element,dns1
network_element,dns2
network_element,10.53.125.0/24
network_element,Cairo_R&D_Team_126-
network_element,10.53.106.248
network_element,10.53.120.0/24
network_element,network-10.53.107.0/24
network_element,10.53.120.3
network_element,10.53.106.241
network_element,10.53.106.241
network_element,10.53.106.244
network_element,10.53.106.244
network_element,10.53.106.247
network_element,AI-lab
network_element,Cairo_R&D_Team_126-
network_element,10.53.130.10
network_element,host-10.53.127.11
network_element,10.53.106.241
network_element,Git_Server
network_element,hpc cluster 4 login node
network_element,Thebes_K8s_Ingress
network_element,SW Debug VM
network_element,AIC-GPU
network_element,MCIT-WAF
network_element,smtp.office365.com
network_element,host-10.53.117.253
network_element,host-10.53.117.254
network_element,SW Debug VM
network_element,VHX-AIC
network_element,VHX-AIC
network_element,dns1
network_element,dns2
network_element,AD1
network_element,AD2
network_element,Cairo_EPM_Prd_Web
network_element,Cairo_HPC_Team_130
network_element,network-10.53.102.0/24
network_element,network-10.53.104.0/24
network_element,network-10.53.105.0/24
network_element,network-10.53.106.0/24
network_element,network-10.53.107.0/24
network_element,network-10.53.117.0/24
network_element,network-10.53.118.0/24
network_element,network-10.53.123.0/24
network_element,network-10.53.127.0/24
network_element,network-10.53.128.0/24
network_element,network-10.53.135.0/24
network_element,network-10.53.150.0/24
network_element,network-10.53.222.0/24
network_element,NEW_SERVER_MGMT
network_element,server_vlan
network_element,10.53.123.250
network_element,NLP Annotation Tool
network_element,10.53.106.100
network_element,Windows Update Server
network_element,172.23.97.16
network_element,network-10.53.105.0/24
network_element,AD1
network_element,AD2
network_element,dns1
network_element,dns2
network_element,AD1
network_element,AD2
network_element,host-10.53.117.253
network_element,Docker Registry Server
network_element,network-10.53.118.0/24
network_element,AIC RProxy Network
network_element,10.53.116.248
network_element,10.53.116.249
network_element,network-10.53.117.0/24
network_element,host-10.53.116.251
network_element,host-10.53.116.252
network_element,host-10.53.117.253
network_element,Cairo_EPM_Prd_Web_Server
network_element,host-10.53.117.254
network_element,ANY
network_element,network-10.53.118.0/24
network_element,network-10.53.118.0/24
network_element,AIC RProxy Network
network_element,network-10.53.117.0/24
network_element,network-10.53.118.0/24
network_element,host-10.53.116.251
network_element,host-10.53.116.252
network_element,host-10.53.117.253
network_element,host-10.53.117.254
network_element,network-10.53.128.0/24
network_element,ANY
network_element,smtp.office365.com
network_element,Mail_Relay 
network_element,Alex-Kubernetes
network_element,Hypervisors_102
network_element,Alex-BMC
network_element,Alex_VM_Internal
network_element,Alex-Kubernetes
network_element,Alex-Kubernetes
network_element,Alex_VM_Internal
network_element,Alex_VM_Internal
network_element,Alex_VM_Internal
network_element,Alex_VM_Internal
network_element,Alex_VM_Internal
network_element,Alex-Kubernetes
network_element,10.53.123.250
network_element,10.53.106.100
network_element,Docker Registry Server
network_element,SW Debug VM
network_element,Git_Server
network_element,10.53.106.240
network_element,AD1
network_element,AD2
network_element,10.53.126.91
network_element,host-10.53.126.90
network_element,host-10.53.101.248
network_element,host-10.53.106.208
network_element,host-10.53.106.208
network_element,AD1
network_element,AD2
network_element,Cairo_EPM_Prd_DB_Server
network_element,host-10.53.101.248
network_element,host-10.53.101.248
network_element,AIC Internal WAF 
network_element,10.210.53.0/255.255.255.0
network_element,10.53.102.21
network_element,network-10.53.106.0/24
network_element,10.53.106.100
network_element,10.53.106.100
network_element,Docker Registry Server
network_element,host-10.53.106.210
network_element,10.53.106.240
network_element,10.53.106.241
network_element,10.53.106.247
network_element,Git_Server
network_element,Cairo_EPM_Prd_Web_Server
network_element,10.53.120.0/24
network_element,hpc cluster 4 login node
network_element,host-10.53.120.88
network_element,network-10.53.127.0/24
network_element,network-10.53.128.0/24
network_element,hpc cluster 2 login node
network_element,Windows Update Server
network_element,dns1
network_element,dns2
network_element,AD1
network_element,AD2
network_element,10.53.222.0/24
network_element,NEW_SERVER_MGMT
network_element,10.53.222.2
network_element,10.53.222.22
network_element,network-10.53.230.0/24
network_element,network-10.53.128.0/24
network_element,Cairo_EPM_Stg_Web
network_element,10.53.222.2
network_element,10.53.222.22
network_element,10.53.106.240
network_element,Wazuh server  
network_element,ISE_mcit2
network_element,AD1
network_element,AD2
network_element,Cairo_Office365_VM_123
network_element,network-10.53.135.0/24
network_element,Cairo_EPM_Prd_Web_Server
network_element,Cairo_EPM_Prd_DB_Server
network_element,10.53.123.250
network_element,network-10.53.101.0/24
network_element,Windows Update Server
network_element,Cairo_EPM_Prd_Web
network_element,Cairo_EPM_Prd_DB
network_element,Cairo_EPM_Stg_DB_Server
network_element,Cairo_EPM_Stg_Web_Server
network_element,Cairo_EPM_Stg_Web_Server
network_element,Cairo_EPM_Stg_Web
network_element,Cairo_EPM_Stg_DB_Server
network_element,network-10.53.101.0/24
network_element,Cairo_EPM_Prd_DB
network_element,Cairo_EPM_Prd_Web
network_element,Cairo_EPM_Stg_DB
network_element,Cairo_EPM_Stg_Web
network_element,Cairo_EPM_Stg_DB
network_element,Cairo_EPM_Stg_DB_Server
network_element,network-10.53.107.0/24
network_element,10.53.222.2
network_element,10.53.222.22
network_element,host-10.53.106.224
network_element,host-10.53.106.225
network_element,host-10.53.106.225
network_element,host-10.54.135.135
network_element,host-10.54.135.235
network_element,host-10.53.135.100
network_element,SCCM Server
network_element,SCCM_Server2
network_element,SCCM Server
