match_sources.match_source_ref.type,match_sources.match_source_ref.value,match_destinations.match_destination_ref.type,match_destinations.match_destination_ref.value,match_services.match_service_ref.type,match_services.match_service_ref.value,match_services.match_service_ref.ref_key,user_match.user.class_id,user_match.user.display_name,user_match.user.domain,user_match.user.ref,user_match.auth_service.ref,user_match.auth_service.ref_key,match_sources.match_source_ref.ref_key
network_element,host-10.53.127.112,network_element,10.53.222.2,string,none,,,,,,,,
network_element,AI_Wireless,network_element,8.8.8.8,service,DNS,444,,,,,,,
network_element,AI_Wireless,network_element | network_element,AIC-AlexVPN | AIC_Subnet,service,ANY,,,,,,,,
network_element,AI_Wireless,network_element,Not Internal,service | service | service | service | service | service,10443 | 4001-4002 | 8013 | 8015 | HTTP | HTTPS,330 | 332,,,,,,,
network_element | network_element | network_element,172.26.80.244 | 172.26.80.245 | 172.26.80.246,network_element | network_element | network_element | network_element | network_element,10.53.105.252 | 10.53.107.34 | 10.53.107.70 | host-10.53.150.249 | NGINX-Reverse-Proxy-VM 1,service | service | service,HTTP | HTTPS | ICMP,330 | 332 | 121,,,,,,,
network_element,AI_Wireless,network_element,Not Internal,service | service,ssh | tcp_service_22,,,,,,,,
network_element,AI_Wireless,network_element | network_element | network_element | network_element | network_element,10.53.106.100 | 10.53.106.247 | Cairo_EPM_Prd_Web_Server | Docker Registry Server | Internal WordPress,service | service,HTTP | HTTPS,330 | 332,,,,,,,
network_element,AI_Wireless,network_element,10.53.106.241,service,3000,,,,,,,,
network_element | network_element,10.58.120.0/24 | 10.58.127.0/24,network_element,10.53.106.241,service,3000,,,,,,,,
network_element,AI_Wireless,network_element,Git_Server,service | service | service,HTTP | HTTPS | tcp_service_22,330 | 332,,,,,,,
network_element,AI_Wireless,network_element,10.53.120.0/24,service | service,ICMP | tcp_service_22,121,,,,,,,
network_element,AI_Wireless,network_element,network-10.53.127.0/24,service,tcp_service_22,,,,,,,,
network_element,AI_Wireless,network_element | network_element,dns1 | dns2,service | service,123 | tcp_service_123,,,,,,,,
network_element,AI_Wireless,network_element,Windows Update Server,service | service | service | service | service | service | service | service | service | service | service | service,137 | 137_TCP | 138 | 138/TCP | 139 | 445 | 8530-8531 | HTTP | HTTPS | TCP_139 | tcp_service_135 | udp_service_135,330 | 332,,,,,,,
network_element,AI_Wireless,network_element | network_element,AD1 | AD2,service | service | service | service | service | service | service | service | service | service | service | service | service | service,3268-3269 | 445 | 464 | 49152-65535-tcp | 88 | 88-tcp | DNS | Kpasswd | LDAP (TCP) | LDAP (UDP) | LDAPS (TCP) | NTP (TCP) | NTP (UDP) | tcp_service_135,444 | 345 | 347 | 457 | 348 | 362 | 425,,,,,,,
network_element,AI_Wireless,network_element,NLP Annotation Server,service | service | service | service | service | service | service | service | service,10001 | 10015-10016 | 8000tcp | 8091 | 9000 | 9443 | HTTP | HTTPS | tcp_service_22,330 | 332,,,,,,,
network_element,AI_Wireless,network_element,10.53.222.0/24,service | service | service | service | service | service,8000tcp | 8080 | 8081 | HTTP | HTTPS | tcp_service_22,330 | 332,,,,,,,
network_element,AI_Wireless,network_element,NEW_SERVER_MGMT,service | service | service | service | service,8080 | HTTP | HTTPS | Remote Desktop | tcp_service_22,330 | 332 | 281,,,,,,,
network_element,AI_Wireless,network_element,network-10.53.230.0/24,service | service | service | service | service | service,161 | 9100 | 9101 | HTTP | HTTPS | TCP_161,330 | 332,,,,,,,
network_element,AI_Wireless,network_element,102.217.68.120,service,5555,,,,,,,,
network_element,10.53.125.0/24,network_element,host-10.54.135.249,service,6443,,,,,,,,
network_element | network_element,10.53.135.243 | 10.53.135.244,network_element,10.53.101.60,service | service | service | service | service | service | service | service | service | service | service,111 | 137 | 138 | 300-306 | 300t0306 | 304-405 | 445 | NFS (TCP) | NFS (UDP) | TCP_139 | udp_service_111,12046 | 423,,,,,,,
network_element | network_element | network_element | network_element | network_element,10.53.135.243 | 10.53.135.244 | 10.58.125.0./24 | Alexandria_IT_Admin_125 | network-10.53.125.0/24,network_element,10.53.102.60-69 ,service,8080,,,,,,,,
network_element | network_element | network_element,10.58.125.0./24 | Alexandria_IT_Admin_125 | network-10.53.125.0/24,network_element | network_element,10.53.135.243 | 10.53.135.244,service,8000tcp,,,,,,,,
network_element | network_element | network_element | network_element | network_element,AIC SWD | Cairo_R&D_Team_126 | network-10.53.106.0/24 | network-10.53.107.0/24 | network-10.53.125.0/24,network_element,10.53.101.60,service | service | service | service | service | service | service | service | service | service | service | service | service | service,"111 | 137 | 138 | 300-306 | 300t0306 | 445 | 9021, | 9022 | MSRPC (TCP) | MSRPC (UDP) | NFS (TCP) | NFS (UDP) | TCP_139 | udp_service_111",280 | 10013 | 12046 | 423,,,,,,,
network_element,10.53.106.242,network_element,network-10.53.107.0/24,service,31500,,,,,,,,
network_element,10.53.150.248,network_element,host-10.53.101.248,service | service | service | service | service | service | service | service | service,139 | 445 | NetBIOS Datagram | NetBIOS-NS (UDP) | NetBIOS-SSN | Sun RPC (UDP) | tcp_service_111 | tcp_service_2049 | udp_service_2049,420 | 422 | 356 | 437,,,,,,,
network_element | network_element | network_element | network_element,10.53.130.0/24 | 10.53.222.2 | AIC_Cluster1_server | host-10.53.127.11,network_element,network-10.53.107.0/24,service | service | service,HTTP | HTTPS | ssh,330 | 332,,,,,,,
network_element,Cairo_R&D_Team_126-,network_element,host-10.54.135.249,service,6443,,,,,,,,
network_element | network_element,10.53.106.250 | Explatory VM,network_element,10.53.107.253,service | service | service,HTTP | HTTPS | ssh,330 | 332,,,,,,,
network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM,network_element,10.53.107.253,service,6443,,,,,,,,
network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM,network_element,10.53.107.100,service,6443,,,,,,,,
network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM,network_element,network-10.53.107.0/24,service | service,HTTP | HTTPS,330 | 332,,,,,,,
network_element,10.53.125.0/24,network_element | network_element | network_element,Active Connect Client | Proxy Agent 1 | Proxy Agent 2,service,Remote Desktop,281,,,,,,,
network_element,10.53.125.0/24,network_element | network_element,AIC_Cluster1_server | host-10.53.127.11,service | service | service,SSH | ssh | tcp_service_22,380,,,,,,,
network_element,10.53.125.0/24,network_element,network-10.53.140.0/24,service | service | service | service,5900 | 9090 | Remote Desktop | tcp_service_22,281,,,,,,,
network_element,10.53.125.0/24,network_element,host-10.53.150.249,service | service,3000-9000 | 9090,,,,,,,,
network_element | network_element,10.53.125.0/24 | network-10.53.125.0/24,network_element | network_element,10.53.222.0/24 | 10.53.222.2,service | service | service,8000tcp | SSH | tcp_service_22,380,,,,,,,
network_element,network-10.53.140.0/24,network_element,host-10.53.101.248,service | service | service | service | service | service | service,137 | 138 | 445 | tcp_service_111 | tcp_service_2049 | udp_service_111 | udp_service_2049,,,,,,,,
network_element,network-10.53.140.0/24,network_element,10.53.101.252,service | service | service | service,137 | 138 | 445 | TCP_139,,,,,,,,
network_element,10.53.222.2,network_element,10.53.106.241,service,tcp_service_22,,,,,,,,
network_element,10.53.222.3,network_element,10.53.106.241,service,tcp_service_22,,,,,,,,
network_element,10.54.125.0,network_element,ISE_mcit4,service,8445,,,,,,,,
network_element,10.54.125.0,network_element | network_element | network_element,Active Connect Client | Proxy Agent 1 | Proxy Agent 2,service,Remote Desktop,281,,,,,,,
network_element,10.54.125.0,network_element | network_element,AIC_Cluster1_server | host-10.53.127.11,service | service,SSH | tcp_service_22,380,,,,,,,
network_element,10.54.125.0,network_element,network-10.53.140.0/24,service | service | service | service | service,5900 | 9090 | Remote Desktop | SSH | tcp_service_22,281 | 380,,,,,,,
network_element,10.54.125.0,network_element,host-10.53.150.249,service | service,3000-9000 | 9090,,,,,,,,
network_element,10.54.125.0,network_element,10.53.222.2,service | service | service,8000tcp | SSH | tcp_service_22,380,,,,,,,
network_element,hpc cluster 4 login node,network_element,hpc cluster 2 login node,service | service | service,8000-8008 | 8000-8008/tcp | tcp_service_22,,,,,,,,
network_element,Cairo_R&D_Team_126,network_element | network_element,AIC_Cluster1_server | host-10.53.127.11,service,tcp_service_22,,,,,,,,
network_element,network-10.53.127.0/24,network_element,196.219.237.216,service,range-14821,,,,,,,,
network_element | network_element,AIC_Cluster1_server | host-10.53.127.11,network_element,network-10.53.106.0/24,service | service | service,tcp_service_22 | tcp_service_443 | tcp_service_80,,,,,,,,
network_element | network_element | network_element | network_element | network_element,10.53.130.0/24 | AIC SWD | Alexandria_R&D_Team_126    | Cairo_R&D_Team_126 | network-10.54.129.0/24,network_element,106_Deny_ip,service | service | service | service,HTTP | HTTPS | tcp_service_443 | tcp_service_80,330 | 332,,,,,,,
network_element,network-10.53.128.0/24,network_element,host-10.53.101.248,service | service | service | service | service | service | service | service,137 | 138 | 139 | 445 | tcp_service_111 | tcp_service_2049 | udp_service_111 | udp_service_2049,,,,,,,,
network_element,network-10.53.128.0/24,network_element,host-10.53.120.88,service | service,8001-8009 | 8001-8009udp,,,,,,,,
network_element,hpc cluster 2 login node,network_element,hpc cluster 4 login node,service | service | service,8000-8008 | 8000-8008/tcp | tcp_service_22,,,,,,,,
network_element,hpc cluster 2 login node,network_element,10.53.123.250,service,tcp_service_25,,,,,,,,
