type,value,ref_key
string,none,
service,DNS,444
service,ANY,
service,10443,
service,4001-4002,
service,8013,
service,8015,
service,HTTP,330
service,HTTPS,332
service,HTTP,330
service,HTTPS,332
service,ICMP,121
service,ssh,
service,tcp_service_22,
service,HTTP,330
service,HTTPS,332
service,3000,
service,3000,
service,HTTP,330
service,HTTPS,332
service,tcp_service_22,
service,ICMP,121
service,tcp_service_22,
service,tcp_service_22,
service,123,
service,tcp_service_123,
service,137,
service,137_TCP,
service,138,
service,138/TCP,
service,139,
service,445,
service,8530-8531,
service,HTTP,330
service,HTTPS,332
service,TCP_139,
service,tcp_service_135,
service,udp_service_135,
service,3268-3269,
service,445,
service,464,
service,49152-65535-tcp,
service,88,
service,88-tcp,
service,DNS,444
service,Kpasswd,345
service,LDAP (TCP),347
service,LDAP (UDP),457
service,LDAPS (TCP),348
service,NTP (TCP),362
service,NTP (UDP),425
service,tcp_service_135,
service,10001,
service,10015-10016,
service,8000tcp,
service,8091,
service,9000,
service,9443,
service,HTTP,330
service,HTTPS,332
service,tcp_service_22,
service,8000tcp,
service,8080,
service,8081,
service,HTTP,330
service,HTTPS,332
service,tcp_service_22,
service,8080,
service,HTTP,330
service,HTTPS,332
service,Remote Desktop,281
service,tcp_service_22,
service,161,
service,9100,
service,9101,
service,HTTP,330
service,HTTPS,332
service,TCP_161,
service,5555,
service,6443,
service,111,
service,137,
service,138,
service,300-306,
service,300t0306,
service,304-405,
service,445,
service,NFS (TCP),12046
service,NFS (UDP),423
service,TCP_139,
service,udp_service_111,
service,8080,
service,8000tcp,
service,111,
service,137,
service,138,
service,300-306,
service,300t0306,
service,445,
service,"9021,",
service,9022,
service,MSRPC (TCP),280
service,MSRPC (UDP),10013
service,NFS (TCP),12046
service,NFS (UDP),423
service,TCP_139,
service,udp_service_111,
service,31500,
service,139,
service,445,
service,NetBIOS Datagram,420
service,NetBIOS-NS (UDP),422
service,NetBIOS-SSN,356
service,Sun RPC (UDP),437
service,tcp_service_111,
service,tcp_service_2049,
service,udp_service_2049,
service,HTTP,330
service,HTTPS,332
service,ssh,
service,6443,
service,HTTP,330
service,HTTPS,332
service,ssh,
service,6443,
service,6443,
service,HTTP,330
service,HTTPS,332
service,Remote Desktop,281
service,SSH,380
service,ssh,
service,tcp_service_22,
service,5900,
service,9090,
service,Remote Desktop,281
service,tcp_service_22,
service,3000-9000,
service,9090,
service,8000tcp,
service,SSH,380
service,tcp_service_22,
service,137,
service,138,
service,445,
service,tcp_service_111,
service,tcp_service_2049,
service,udp_service_111,
service,udp_service_2049,
service,137,
service,138,
service,445,
service,TCP_139,
service,tcp_service_22,
service,tcp_service_22,
service,8445,
service,Remote Desktop,281
service,SSH,380
service,tcp_service_22,
service,5900,
service,9090,
service,Remote Desktop,281
service,SSH,380
service,tcp_service_22,
service,3000-9000,
service,9090,
service,8000tcp,
service,SSH,380
service,tcp_service_22,
service,8000-8008,
service,8000-8008/tcp,
service,tcp_service_22,
service,tcp_service_22,
service,range-14821,
service,tcp_service_22,
service,tcp_service_443,
service,tcp_service_80,
service,HTTP,330
service,HTTPS,332
service,tcp_service_443,
service,tcp_service_80,
service,137,
service,138,
service,139,
service,445,
service,tcp_service_111,
service,tcp_service_2049,
service,udp_service_111,
service,udp_service_2049,
service,8001-8009,
service,8001-8009udp,
service,8000-8008,
service,8000-8008/tcp,
service,tcp_service_22,
service,tcp_service_25,
service,tcp_service_22,
service,tcp_service_443,
service,tcp_service_80,
service,3000,
service,8000tcp,
service,8080,
service,8081,
service,RDP,172
service,tcp_service_22,
service,tcp_service_443,
service,tcp_service_80,
service,tcp_service_123,
service,tcp_service_53,
service,udp_service_123,
service,udp_service_53,
service,tcp_service_123,
service,tcp_service_53,
service,udp_service_123,
service,udp_service_53,
