type,value,ref_key
network_element,host-10.53.127.112,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,172.26.80.244,
network_element,172.26.80.245,
network_element,172.26.80.246,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,10.58.120.0/24,
network_element,10.58.127.0/24,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,AI_Wireless,
network_element,10.53.125.0/24,
network_element,10.53.135.243,
network_element,10.53.135.244,
network_element,10.53.135.243,
network_element,10.53.135.244,
network_element,10.58.125.0./24,
network_element,Alexandria_IT_Admin_125,
network_element,network-10.53.125.0/24,
network_element,10.58.125.0./24,
network_element,Alexandria_IT_Admin_125,
network_element,network-10.53.125.0/24,
network_element,AIC SWD,
network_element,Cairo_R&D_Team_126,
network_element,network-10.53.106.0/24,
network_element,network-10.53.107.0/24,
network_element,network-10.53.125.0/24,
network_element,10.53.106.242,
network_element,10.53.150.248,
network_element,10.53.130.0/24,
network_element,10.53.222.2,
network_element,AIC_Cluster1_server,
network_element,host-10.53.127.11,
network_element,Cairo_R&D_Team_126-,
network_element,10.53.106.250,
network_element,Explatory VM,
network_element,10.53.106.242,
network_element,10.53.106.250,
network_element,Explatory VM,
network_element,10.53.106.242,
network_element,10.53.106.250,
network_element,Explatory VM,
network_element,10.53.106.242,
network_element,10.53.106.250,
network_element,Explatory VM,
network_element,10.53.125.0/24,
network_element,10.53.125.0/24,
network_element,10.53.125.0/24,
network_element,10.53.125.0/24,
network_element,10.53.125.0/24,
network_element,network-10.53.125.0/24,
network_element,network-10.53.140.0/24,
network_element,network-10.53.140.0/24,
network_element,10.53.222.2,
network_element,10.53.222.3,
network_element,10.54.125.0,
network_element,10.54.125.0,
network_element,10.54.125.0,
network_element,10.54.125.0,
network_element,10.54.125.0,
network_element,10.54.125.0,
network_element,hpc cluster 4 login node,
network_element,Cairo_R&D_Team_126,
network_element,network-10.53.127.0/24,
network_element,AIC_Cluster1_server,
network_element,host-10.53.127.11,
network_element,10.53.130.0/24,
network_element,AIC SWD,
network_element,Alexandria_R&D_Team_126   ,
network_element,Cairo_R&D_Team_126,
network_element,network-10.54.129.0/24,
network_element,network-10.53.128.0/24,
network_element,network-10.53.128.0/24,
network_element,hpc cluster 2 login node,
