db_key,ipaddress,ne_ref,gateway_rn_level.db_key,gateway_rn_level.ipaddress,gateway_rn_level.ne_ref,gateway_rn_level.ipaddress_behind_router.gateway,gateway_rn_level.ipaddress_behind_router.ipaddress,gateway_rn_level.any_rn_level.db_key,gateway_rn_level.any_rn_level.ipaddress,gateway_rn_level.any_rn_level.ne_ref,gateway_rn_level.any_rn_level.ne_ref_key,gateway_rn_level.any_rn_level.probe_ecmp,gateway_rn_level.any_rn_level.probe_metric,gateway_rn_level.any_rn_level.probe_test
184,10.53.74.0/24,network-10.53.74.0/24,352,10.53.74.254,R-10.53.74.254,10.53.74.254,0.0.0.0/0,353,0.0.0.0/0,Any network,2,0,0,not_enabled
186,10.53.101.0/24,network-10.53.101.0/24,,,,,,,,,,,,
188,10.53.102.0/24,network-10.53.102.0/24,,,,,,,,,,,,
190,10.53.103.0/24,network-10.53.103.0/24,,,,,,,,,,,,
192,10.53.104.0/24,network-10.53.104.0/24,,,,,,,,,,,,
194,10.53.105.0/24,network-10.53.105.0/24,,,,,,,,,,,,
196,10.53.106.0/24,network-10.53.106.0/24,,,,,,,,,,,,
198,10.53.107.0/24,network-10.53.107.0/24,,,,,,,,,,,,
365,10.53.108.0/24,network-10.53.108.0/24,,,,,,,,,,,,
367,10.53.109.0/24,network-10.53.109.0/24,,,,,,,,,,,,
369,10.53.111.0/24,network-10.53.111.0/24,,,,,,,,,,,,
371,10.53.112.0/24,network-10.53.112.0/24,,,,,,,,,,,,
200,10.53.115.0/24,Cairo_ IT_Test _115,,,,,,,,,,,,
375,10.53.116.0/24,AIC RProxy Network,,,,,,,,,,,,
377,10.53.117.0/24,network-10.53.117.0/24,,,,,,,,,,,,
373,10.53.118.0/24,network-10.53.118.0/24,,,,,,,,,,,,
204,10.53.123.0/24,network-10.53.123.0/24,,,,,,,,,,,,
210,10.53.135.0/24,network-10.53.135.0/24,,,,,,,,,,,,
212,10.53.140.0/24,network-10.53.140.0/24,,,,,,,,,,,,
214,10.53.145.0/24,network-10.53.145.0/24,,,,,,,,,,,,
359,10.53.150.0/24,network-10.53.150.0/24,,,,,,,,,,,,
380,10.53.41.0/24,network-10.53.41.0/24,,,,,,,,,,,,
216,10.53.222.0/24,network-10.53.222.0/24,,,,,,,,,,,,
218,10.53.223.0/24,Server-Mgmt-B2,,,,,,,,,,,,
220,10.53.30.0/24,AIC-Pool,,,,,,,,,,,,
224,10.53.110.0/24,network-10.53.110.0/24,,,,,,,,,,,,
230,10.53.180.0/24,network-10.53.180.0/24,,,,,,,,,,,,
232,10.53.202.0/24,network-10.53.202.0/24,,,,,,,,,,,,
253,10.53.145.0/24,network-10.53.145.0/24,257,10.53.145.10,router-10.53.145.10,10.53.145.10,0.0.0.0/0,258,0.0.0.0/0,Any network,2,0,0,not_enabled
7,1.1.1.0/24,network-1.1.1.0/24,,,,,,,,,,,,
