log_policy.closing_mode,log_policy.log_level,log_policy.mss_enforce,log_policy.log_compression,decrypting,deep_inspection,log_policy.application,conn_tracking,nat_src.dynamic_nat.generate_arp,nat_src.dynamic_nat.packet_description.first_port,nat_src.dynamic_nat.packet_description.last_port,nat_src.dynamic_nat.packet_description.ne_ref
true,stored,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
true,undefined,false,,,,,,,,,
