comment,db_key,is_disabled,parent_rule_ref,rank,tag,access_rule.match_part.match_sources.match_source_ref.type,access_rule.match_part.match_sources.match_source_ref.value,access_rule.match_part.match_destinations.match_destination_ref.type,access_rule.match_part.match_destinations.match_destination_ref.value,access_rule.match_part.match_services.match_service_ref.type,access_rule.match_part.match_services.match_service_ref.value,access_rule.action.type,access_rule.option.log_policy.closing_mode,access_rule.option.log_policy.log_level,access_rule.option.log_policy.mss_enforce,access_rule.match_part.match_services.match_service_ref.ref_key,access_rule.option.log_policy.log_compression,comment_rule.background_color,access_rule.match_part.user_match.user.class_id,access_rule.match_part.user_match.user.display_name,access_rule.match_part.user_match.user.domain,access_rule.match_part.user_match.user.ref,access_rule.match_part.user_match.auth_service.ref,access_rule.match_part.user_match.auth_service.ref_key,access_rule.vpn_action.meta_mobile_vpn,access_rule.vpn_action.type,access_rule.vpn_action.vpn_ref.ref,name,access_rule.match_part.match_sources.match_source_ref.ref_key,access_rule.option.decrypting,access_rule.option.deep_inspection,access_rule.option.log_policy.application,access_rule.option.conn_tracking,nat_rule.valid_fw_ref,nat_rule.match_part.match_sources.match_source_ref.type,nat_rule.match_part.match_sources.match_source_ref.value,nat_rule.match_part.match_destinations.match_destination_ref.type,nat_rule.match_part.match_destinations.match_destination_ref.value,nat_rule.match_part.match_services.match_service_ref.ref_key,nat_rule.match_part.match_services.match_service_ref.type,nat_rule.match_part.match_services.match_service_ref.value,nat_rule.action.type,nat_rule.option.log_policy.closing_mode,nat_rule.option.log_policy.log_level,nat_rule.option.log_policy.mss_enforce,nat_rule.option.nat_src.dynamic_nat.generate_arp,nat_rule.option.nat_src.dynamic_nat.packet_description.first_port,nat_rule.option.nat_src.dynamic_nat.packet_description.last_port,nat_rule.option.nat_src.dynamic_nat.packet_description.ne_ref
Generated based on the log event 2025-08-03 11:15:00 from Virtual Firewall AIC-Context-New,11930,false,Access rule : insert point,-29.12696,2099315.0,network_element,host-10.53.127.112,network_element,10.53.222.2,string,none,allow,true,stored,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11769,false,Access rule : insert point,-28.12696,2099142.2,network_element,AI_Wireless,network_element,8.8.8.8,service,DNS,allow,true,undefined,false,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11767,false,Access rule : insert point,-27.75196,2099140.2,network_element,AI_Wireless,network_element | network_element,AIC-AlexVPN | AIC_Subnet,service,ANY,discard,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11768,false,Access rule : insert point,-27.62696,2099141.2,network_element,AI_Wireless,network_element,Not Internal,service | service | service | service | service | service,10443 | 4001-4002 | 8013 | 8015 | HTTP | HTTPS,allow,true,undefined,false,330 | 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDWAN puplish rules,11411,false,Access rule : insert point,-27.50196,2098764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11731,false,Access rule : insert point,-26.808601,2098813.3,network_element | network_element | network_element,172.26.80.244 | 172.26.80.245 | 172.26.80.246,network_element | network_element | network_element | network_element | network_element,10.53.105.252 | 10.53.107.34 | 10.53.107.70 | host-10.53.150.249 | NGINX-Reverse-Proxy-VM 1,service | service | service,HTTP | HTTPS | ICMP,allow,true,undefined,false,330 | 332 | 121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deny AND Delete rules,11437,false,Access rule : insert point,-25.87696,2098790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11732,false,Access rule : insert point,-25.812508,2099102.0,network_element,AI_Wireless,network_element,Not Internal,service | service,ssh | tcp_service_22,discard,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11733,false,Access rule : insert point,-25.81202,2099104.0,network_element,AI_Wireless,network_element | network_element | network_element | network_element | network_element,10.53.106.100 | 10.53.106.247 | Cairo_EPM_Prd_Web_Server | Docker Registry Server | Internal WordPress,service | service,HTTP | HTTPS,discard,true,undefined,false,330 | 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11734,false,Access rule : insert point,-25.698769,2099120.1,network_element,AI_Wireless,network_element,10.53.106.241,service,3000,discard,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
