class_id,ref,ref_key
46,tcp_service_1433,
55,udp_service_1433,
46,SIP Control (TCP),10039
46,SIP (TCP),10047
46,tcp_service_5060,
55,SIP Control (UDP),10040
55,SIP (UDP),10048
55,udp_service_5060,
27,AD_services,
46,Remote Desktop,281
46,DNS (TCP),321
46,Kerberos,343
46,Kpasswd,345
46,LDAP (TCP),347
46,LDAPS (TCP),348
46,Microsoft-DS,351
46,NTP (TCP),362
46,Microsoft Global Catalog LDAP (TCP),12038
46,Microsoft Global Catalog LDAPS (TCP),12040
46,LDAPS (with decryption),12044
46,DNS (TCP with SafeSearch),12069
46,3000,
46,49152-65535-tcp,
46,tcp_service_123,
46,tcp_service_135,
46,49668,
46,49681,
46,445,
46,3268-3269,
46,32683,
46,389/TCP,
46,123.,
46,464.,
46,36,
46,636,
46,3200,
46,3268,
46,3269,
46,5723-TCP,
55,DNS (UDP),414
55,NetBIOS Datagram,420
55,NTP (UDP),425
55,LDAP (UDP),457
55,LDAPS (UDP),458
55,123,
55,139,
55,464,
55,DHCP,
55,389,
55,88,
55,88.,
55,389.,
55,3893,
55,4640,
55,5723,
28,Ping,453
46,Remote Desktop,281
46,HTTP,330
46,HTTPS,332
46,SSH,380
46,8081,
46,tcp_service_8000,
46,tcp_service_8080,
46,HTTP,330
46,HTTPS,332
46,8080,
46,8082,
46,8443,
46,8445,
46,8087,
46,HTTP,330
46,HTTPS,332
46,SSH,380
46,10015-10016,
46,8091,
46,tcp_service_22,
46,tcp_service_25,
46,tcp_service_443,
46,tcp_service_53,
46,tcp_service_80,
46,tcp_service_8000,
46,tcp_service_8080,
46,tcp_service_143,
46,tcp_service_9481,
55,udp_service_123,
55,udp_service_161,
55,udp_service_1194,
46,HTTP,330
46,HTTP (SafeSearch),484
46,7271,
46,7272,
46,9876,
46,11111,
46,13000,
46,13111,
46,14000,
46,14111,
46,15000,
55,udp/8000,
55,udp/13000,
55,udp/13111,
55,udp/14000,
55,udp/14111,
55,udp/15000,
55,udp/15111,
46,Remote Desktop,281
27,5060,
46,HTTP,330
46,SSH,380
46,5061,
46,8080,
46,8082,
46,8443,
46,tcp_service_22,
46,5062,
46,tcp_service_5222,
46,7336,
46,8083,
46,8600,
28,Ping,453
46,FTP,325
46,HTTP,330
46,HTTPS,332
46,SSH,380
46,8080,
46,8443,
46,tcp_service_22,
27,5060,
46,HTTP,330
46,SCCP,12019
46,tcp_service_80,
46,5061,
55,rtp-ports -,
46,HTTP,330
46,HTTPS,332
46,SSH,380
46,3000-9000,
46,9090,
46,tcp_service_22,
46,tcp_service_80,
28,Ping,453
46,FTP,325
46,HTTP,330
46,HTTPS,332
46,SSH,380
46,8080,
46,8443,
46,tcp_service_22,
55,161,
55,rtp-ports -,
46,HTTPS,332
46,IMAPS,336
46,143,
46,7443,
46,tcp_service_993,
46,5001-5004,
46,5060-5199,
46,7080,
46,7993,
46,8143,
46,8993,
46,21000-21512,
46,32768-61000-tcp,
55,32768-61000,
55,16384-21511,
27,5060,
46,DNS (TCP),321
46,SCCP,12019
46,5061,
46,8080,
46,8443,
46,9443,
46,2443,
46,2445,
46,2748,
46,3804,
46,6970-6972,
46,8191,
55,TFTP,439
55,rtp-ports -,
55,5070,
55,5070-6070,
55,30000-39999,
55,32768-61000,
46,tcp_service_5222,
46,tcp_service_993,
46,tcp_service_5223,
46,tcp_service_5228,
