db_key,min_dst_port,name,max_dst_port,max_src_port,min_src_port,category_ref.ref,comment,protocol_agent_ref,protocol_agent_ref_key,pa_value.param_description,pa_value.param_ref_key,pa_value.value
7668,10000,10000,,,,,,,,,,
7695,10001,10001,10001,,,,,,,,,
7363,10015,10015-10016,10016,,,,,,,,,
7680,10123,10123tcp,,,,,,,,,,
7768,1024,1024-65535,65535,,,,,,,,,
7759,10443,10443,10443,,,,,,,,,
7743,111,111,,,,,,,,,,
7364,11111,11111,,,,,,,,,,
7762,0,123.,123,123,0,,,,,,,
7365,13000,13000,,,,,,,,,,
7366,13111,13111,,,,,,,,,,
7785,1337,1337,1337,,,,,,,,,
7744,137,137_TCP,,,,,,,,,,
7730,138,138/TCP,138,,,,,,,,,
7367,14000,14000,,,,,,,,,,
7368,14111,14111,,,,,,,,,,
7369,143,143,,,,Elements created by Migration Tool,,,,,,
7370,15000,15000,,,,,,,,,,
7699,1514,1514-1515,1515,,,,,,,,,
7707,16106,16106-16114,16106,,,,,,,,,
7372,16514,16514,,,,,,,,,,
7715,20,20-21/tcp,21,,,,,,,,,
7726,200,200,200,,,,,,,,,
7374,21000,21000-21512,21512,,,,,,,,,
7375,2222,2222,,,,,,,,,,
7741,2383,2383,,,,,,,,,,
7376,2443,2443,2443,,,,,,,,,
7377,2445,2445,2445,,,,,,,,,
7378,25,25,,,,Elements created by Migration Tool,,,,,,
7766,2701,2701,2701,,,,,,,,,
7671,27017,27017,27017,,,,,,,,,
7767,2702,2702,2702,,,,,,,,,
7379,2748,2748,2748,,,,,,,,,
7380,3000,3000,,,,,,,,,,
7683,3000,3000-10000,10000,,,,,,,,,
7701,3000,3000-5000,5000,,,,,,,,,
7381,3000,3000-9000,9000,,,,,,,,,
7716,30000,30000-30099,30099,,,,,,,,,
7691,30000,30000-32768,32768,,,,,,,,,
7776,300,300t0306,306,,,,,,,,,
7774,304,304-405,305,,,,,,,,,
7733,3100,3100,3100,,,,,,,,,
7704,31000,31000-31199,31199,,,,,,,,,
7692,3128,3128,3128,,,,,,,,,
7698,31500,31500,31500,,,,,,,,,
7740,3200,3200,,,,,,,,,,
7770,3268,3268,3268,,,,,,,,,
7718,3268,3268-3269,3269,,,,,,,,,
7725,32683,32683,32683,,,,,,,,,
7771,3269,3269,3269,,,,,,,,,
7385,32764,32764:32769,32769,,,,,,,,,
7386,32768,32768-61000-tcp,61000,,,,,,,,,
7751,3333,3333,,,,,,,,,,
7387,36,36,,,,,,,,,,
7388,37200,37200,37200,,,,,,,,,
7389,3804,3804,3804,,,,,,,,,
7729,389,389/TCP,389,,,,,,,,,
7760,4001,4001-4002,4002,,,,,,,,,
7662,4040,4040,,,,,,,,,,
7689,4041,4041,4041,,,,,,,,,
7728,41952,41952-65535,65535,,,,,,,,,
7686,445,445,445,,,,,,,,,
7763,0,464.,464,,,,,,,,,
7391,465,465,,,,,,,,,,
7392,49152,49152-65535-tcp,65535,,,,,,,,,
7393,49152,49152:49215,49215,,,,,,,,,
7663,49668,49668,,,,,,,,,,
7664,49673,49673,,,,,,,,,,
7665,49681,49681,,,,,,,,,,
7394,5000,5000,,,,,,,,,,
7708,5000,5000-6999,6999,,,,,,,,,
7737,50000,50000,50000,,,,,,,,,
7738,50001,50001,50001,,,,,,,,,
7396,5001,5001-5004,5004,,,,,,,,,
7397,5060,5060-5199,5199,,,,,,,,,
7398,5061,5061,5061,,,,,,,,,
7399,5062,5062,5062,,,,,,,,,
7717,5432,5432,5432,,,,,,,,,
7400,54321,54321,,,,,,,,,,
7401,54323,54323,,,,,,,,,,
7749,5480,5480,5480,,,,,,,,,
7700,55000,55000,55000,,,,,,,,,
7709,5553,5553-5557,5557,,,,,,,,,
7402,5555,5555,5555,,,,,,,,,
7403,5557,5557,5557,,,,,,,,,
7713,5559,5559,,,,,,,,,,
7404,5723,5723-TCP,,,,,,,,,,
7405,5900,5900,,,,,,,,,,
7406,5900,5900-5901,5901,,,,,,,,,
7693,5900,5900-5999,5999,,,,,,,,,
7407,5900,5900-6923,6923,,,,,,,,,
7408,5901,5901,,,,,,,,,,
7706,5902,5902,5902,,,,,,,,,
