class_id,display_name,domain,ref
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-op,aic-domain,"CN=vpn-op,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-op,aic-domain,"CN=vpn-op,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-rd,aic-domain,"CN=vpn-rd,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-rd-ext,aic-domain,"CN=vpn-rd-ext,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-hpc-ext,aic-domain,"CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg"
5686,Protected Users,aic-domain,"CN=Protected Users,CN=Users,DC=aic,DC=gov,DC=eg"
5686,vpn-dev,aic-domain,"CN=vpn-dev,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-hpc,aic-domain,"CN=vpn-hpc,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-hpc-ext,aic-domain,"CN=vpn-hpc-ext,OU=aic,DC=aic,DC=gov,DC=eg"
5686,vpn-it,aic-domain,"CN=vpn-it,OU=aic,DC=aic,DC=gov,DC=eg"
